scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpc_hard,3,0,0,34,3.4,2.1259,9.4079,0.6253,0.3802,2.4143,0.0554,0.083,0.1501,0.0618,0.0118,0.0249,0.0401,0.022,171.78,438.33,184.41,14,0,0,0,5,0,11,0.3264
Zigzag,mpc_hard,3,1,1,327,32.7,12.4334,1.6086,0.3802,0.4484,6.9217,0.2488,0.3198,0.9336,0.2009,0.0121,0.0229,0.0426,0.0194,118.98,386.44,105.89,0,0,0,0,7,217,270,0.1876
Zigzag,mpc_hard,3,2,0,41,4.1,3.6944,5.4136,0.9011,0.1449,1.7603,0.1577,0.2821,0.6462,0.234,-0.0055,0.0214,0.0423,0.0206,29.47,176.89,38.01,1,0,0,0,2,0,11,0.4877
Zigzag,mpc_hard,3,3,0,71,7.1,6.4988,3.0775,0.9153,0.1226,3.3334,0.1646,0.2734,0.6824,0.2183,-0.0021,0.0189,0.0416,0.0188,31.89,224.31,35.41,1,0,0,0,2,0,22,0.376
Zigzag,mpc_hard,3,4,0,88,8.8,6.7623,2.9576,0.7684,0.2168,0.558,0.038,0.0865,0.3719,0.0778,-0.0182,0.0494,0.1651,0.0459,22.93,159.5,17.82,1,0,0,0,1,4,21,0.2128
Zigzag,mpc_hard,3,5,0,56,5.6,4.7982,4.1682,0.8568,0.1077,0.0683,0.0012,0.0027,0.0076,0.0024,-0.0002,0.0093,0.036,0.0093,17.57,138.93,16.91,1,0,0,0,0,0,0,0.8721
Zigzag,mpc_hard,3,6,0,103,10.3,6.9505,2.8775,0.6748,0.3325,0.8157,0.1323,0.2403,0.5114,0.2006,-0.0147,0.036,0.1753,0.0329,30.01,101.59,20.66,1,0,0,0,19,24,42,0.2
Zigzag,mpc_hard,3,7,0,44,4.4,3.7115,5.3887,0.8435,0.1419,1.323,0.0392,0.1017,0.42,0.0938,0.0018,0.0165,0.0368,0.0164,49.61,414.33,101.79,4,0,0,0,1,0,3,0.3715
Zigzag,mpc_hard,3,8,1,298,29.8,25.0076,0.7998,0.8392,0.1718,9.6536,0.1505,0.2797,0.9732,0.2358,-0.0014,0.0204,0.1622,0.0204,21.02,155.0,19.5,0,0,0,0,10,51,107,0.1834
Zigzag,mpc_hard,3,9,0,55,5.5,4.5549,4.3909,0.8282,0.1351,0.6315,0.0223,0.0576,0.233,0.0531,-0.0011,0.0133,0.038,0.0132,18.71,94.69,12.26,1,0,0,0,0,0,3,0.588
Sine,mpc_hard,1,0,0,201,20.1,16.5356,1.2113,0.8227,0.152,7.8483,0.1524,0.2856,0.8906,0.2416,-0.001,0.0207,0.049,0.0207,21.67,306.13,28.3,1,0,0,0,4,34,74,0.1976
Sine,mpc_hard,1,1,0,121,12.1,10.475,1.9121,0.8657,0.1461,4.5637,0.1365,0.257,0.6881,0.2177,-0.0037,0.0188,0.0454,0.0185,19.23,118.6,13.39,1,0,0,0,1,12,38,0.234
Sine,mpc_hard,1,2,1,298,29.8,25.2045,0.7947,0.8458,0.1373,9.4382,0.1272,0.2669,0.8887,0.2347,0.0009,0.0156,0.0424,0.0156,16.94,225.73,16.88,0,0,0,0,3,29,85,0.2225
Sine,mpc_hard,1,3,1,298,29.8,25.1808,0.7954,0.845,0.1384,9.8755,0.1187,0.2471,0.8887,0.2167,0.0003,0.0153,0.0439,0.0153,15.72,83.16,9.05,0,0,0,0,0,31,79,0.2279
Sine,mpc_hard,1,4,0,221,22.1,19.1505,1.0459,0.8665,0.1652,10.0784,0.1753,0.2932,0.8887,0.235,-0.0,0.0197,0.0453,0.0197,20.27,255.43,24.7,1,0,0,0,3,31,98,0.2304
Sine,mpc_hard,1,5,0,62,6.2,4.8566,4.1242,0.7833,0.1483,1.2993,0.0055,0.0066,0.0113,0.0037,-0.0017,0.0134,0.04,0.0133,18.34,332.66,43.27,2,0,0,0,0,0,4,0.4371
Sine,mpc_hard,1,6,0,221,22.1,18.9908,1.0547,0.8593,0.143,7.7682,0.1336,0.2662,0.8887,0.2302,-0.0008,0.0186,0.0483,0.0186,17.32,176.65,14.1,1,0,0,0,0,31,74,0.2304
Sine,mpc_hard,1,7,0,66,6.6,5.4139,3.6997,0.8203,0.1575,1.8326,0.052,0.1378,0.6306,0.1276,-0.0035,0.0162,0.04,0.0159,44.6,373.87,95.11,6,0,0,0,1,0,6,0.4023
Sine,mpc_hard,1,8,0,181,18.1,15.1491,1.3222,0.837,0.1547,5.7157,0.0838,0.1791,0.6881,0.1583,-0.0019,0.0181,0.0482,0.018,17.64,107.14,10.37,1,0,0,0,1,13,71,0.2339
Sine,mpc_hard,1,9,0,121,12.1,10.4641,1.9141,0.8648,0.1473,4.1584,0.1261,0.2377,0.6881,0.2014,-0.0037,0.0203,0.0462,0.0199,18.0,107.32,12.87,1,0,0,0,1,12,39,0.234
